Title,PublicationYear,PublicationVenue,PairedDevice,Role,Application,HTML
WhichHand: automatic recognition of a smartphone's position in the hand using a smartwatch. https://dl.acm.org/doi/10.1145/2957265.2961857 ,2016,MobileHCI,Smartphone,Data Collector,Context-Aware System Design
Large scale mood and stress self-assessments on a smartwatch. https://dl.acm.org/doi/10.1145/2968219.2968305 ,2016,UbiComp,Smartphone,Data Collector,Health and Fitness
Automatic Authentication of Smartphone Touch Interactions using Smartwatch. https://dl.acm.org/doi/abs/10.1145/2968219.2971370 ,2016,UbiComp,Smartphone,Data Collector,Authentication
A wearable system for mood assessment considering smartphone features and data from mobile ECGs. https://dl.acm.org/doi/10.1145/2968219.2968302 ,2016,UbiComp,Smartphone,Data Collector,Health and Fitness
TakeOut: drawing application using distributed user interface for being close to real experience. https://dl.acm.org/doi/10.1145/2968219.2971439 ,2016,UbiComp,Smartphone,Extended Screen,Drawing
DEMONS: an integrated framework for examining associations between physiology and self-reported affect tied to depressive symptoms. https://dl.acm.org/doi/10.1145/2968219.2968300,2016,UbiComp,Smartphone,Data Collector,Health and Fitness
Easy Return: An App for Indoor Backtracking Assistance. https://dl.acm.org/doi/abs/10.1145/3173574.3173591,2018,CHI,Smartphone,Input Device,Health and Fitness
Mo-Bi: Contextual Mobile Interfaces through Bimanual Posture Sensing with Wrist-Worn Devices. https://dl.acm.org/doi/10.17210/hcik.2016.01.94,2016,CHI,Smartphone,Data Collector,Context-Aware System Design
A wearable action support system for business use by context-aware computing based on web schedule. https://dl.acm.org/doi/10.1145/2800835.2800863,2015,UbiComp,Smartphone,Notification Device,Context-Aware System Design
PulseCam: Biophysically Driven Life Logging. https://dl.acm.org/doi/10.1145/2786567.2794320,2015,MobileHCI,Smartphone,Data Collector,Log
Mixed-reality shopping system using HMD and smartwatch. https://dl.acm.org/doi/10.1145/2800835.2800888,2015,UbiComp,HMD,Input Device,Health and Fitness
Real-time physical activity and mental stress management with a wristband and a smartphone. https://dl.acm.org/doi/10.1145/3123024.3123184,2017,UbiComp,Smartphone,Data Collector,Health and Fitness
EPARS: elderly physical activity reminder system using smartphone and wearable sensors. https://dl.acm.org/doi/abs/10.1145/3341162.3350845,2019,UbiComp,Smartphone,Data Collector,Health and Fitness
3D interaction with networked public displays using mobile and wearable devices. https://dl.acm.org/doi/abs/10.1145/2800835.2807957,2015,UbiComp,Large Display,Input Device, No Application Context
GestEar: combining audio and motion sensing for gesture recognition on smartwatches. https://dl.acm.org/doi/10.1145/3341163.3347735,2019,UbiComp,Smartphone,Input Device, No Application Context
mLung++: automated characterization of abnormal lung sounds in pulmonary patients using multimodal mobile sensors. https://dl.acm.org/doi/10.1145/3341162.3344850,2019,UbiComp,PC,Data Collector,Health and Fitness
Reducing distraction of smartwatch users with deep learning. https://dl.acm.org/doi/10.1145/2957265.2962662,2016,MobileHCI,Smartphone,Notification Device, No Application Context
Optimizing Smartphone Micro-usage with Smartwatch Notifications. https://dl.acm.org/doi/10.1145/2786567.2794313,2015,MobileHCI,Smartphone,Notification Device, No Application Context
Assessment of Notifications on Smartwatches. https://dl.acm.org/doi/abs/10.1145/2786567.2794338,2015,MobileHCI,Smartphone,Notification Device, No Application Context
Integrating Real-Time Health Status into Everyday Objects: A Design Case Study on Enhancing Diabetic Health Monitoring with Artistic Creations. https://dl.acm.org/doi/10.1145/3565066.3608696,2023,MobileHCI,Smart Socks,Notification Device,Health and Fitness
Unpacking the Lived Experiences of Smartwatch Mediated Self and Co-Regulation with ADHD Children. https://dl.acm.org/doi/full/10.1145/3544548.3581316,2023,CHI,Smartphone,Input Device,Health and Fitness
IMUPoser: Full-Body Pose Estimation using IMUs in Phones' Watches' and Earbuds. https://dl.acm.org/doi/10.1145/3544548.3581392,2023,CHI,Smartphone & Earbud,Data Collector, No Application Context
WatchVR: Exploring the Usage of a Smartwatch for Interaction in Mobile Virtual Reality. https://dl.acm.org/doi/10.1145/3170427.3188629, 2018, CHI, HMD,Input Device, No Application Context
